m1_a11,m1_a12,m1_a22,m1_b1,m1_b2,m2_a33,m2_a34,m2_a44,m2_b3,m2_b4,m3_a13,m3_a14,m3_a23,m3_a24
0.8274277475483606,2.012065942802898,0.851935955427161,1.4368262628504096,1.4684772129544215,1.4860635898320316,0.9966731291226152,1.6138971449729644,0.32185918221793336,0.3368047799516735,1.9605094835517738,0.981645135497803,1.9746335415153216,1.0050887964464306
0.8180463927844827,2.063039263760457,0.8743494173377128,1.4881441123680044,1.4961681553048467,1.5006327427044615,1.0550934011811337,1.6259072113631217,0.3194092527381333,0.3343079428233567,2.125930473821146,0.9756285593592988,2.0977463919150807,0.9492597979209126
0.8189847667290332,2.066331555977479,0.8928239268567213,1.4666277267516579,1.5022138492530002,1.5684150331602722,0.9123208537488048,1.7595404590012034,0.3082674405826079,0.3280602698059596,1.9381942954106306,1.0284749821071448,1.961394474852153,1.021998273413299
0.7781747010849263,2.0712218183336226,0.8475764817798855,1.4740014941230692,1.509770186575803,1.4291860959479779,0.943110619939725,1.5835580339419753,0.3010922356582014,0.3288203524894736,2.0087979552587707,0.9636469537753191,1.9937716052331413,0.9719040693144787
0.8336670634624664,2.038323813321751,0.881004401752598,1.4584858128901426,1.4887642956537688,1.5251222746975421,1.0272653689467355,1.6797555944307334,0.3131464219023908,0.34541826268958054,2.0355512605856525,1.0203051296233303,2.0165602628192096,1.0152745277839232
0.7663555744929853,1.931419705236171,0.8338598520213002,1.3794974501203374,1.414291249341428,1.4991616062914357,1.000564334250125,1.6107062447360232,0.3062853484360237,0.32950253203173385,2.037806479735024,0.9675667195652766,2.0347283727358167,0.9884309877936437
0.8140845702512065,2.0980058919380657,0.8767722928673771,1.5012135634380381,1.5381018570988247,1.4799908231418182,1.0242205460449667,1.6310316099978004,0.32121600143611895,0.36096078574208335,1.9964835754530517,1.0247063835952592,1.9547834041390213,1.0380677841434864
0.8525709350194395,1.9312192764188787,0.8920532878228866,1.3828732409921312,1.401389903230978,1.5531153792519576,1.0025763008972777,1.6717746638463948,0.31799122753476616,0.3376640252152108,1.9855578456891614,1.0005165874819169,1.9902927976024787,1.0144240729635972
0.7762271281968636,2.018158127914342,0.8328470776947771,1.4298859067541616,1.473285215718792,1.5527408492734205,1.022837827784155,1.7035317634322813,0.2796349219716454,0.3156657993621893,2.0270928494743705,1.0400091568557948,2.025225324312749,1.042679842916757
0.7864088544895336,1.9547434489988385,0.8636396113679635,1.406158876483556,1.4466032525767338,1.4432105522406944,0.9674238871602724,1.5424359973156048,0.27828073658516583,0.31269695708292694,2.015991298998692,1.0342436373496382,2.0087612154228722,1.0156872630628655
0.8023916327621035,1.9961516992044204,0.8690798176474026,1.4284902623766642,1.4488142082893747,1.4890703649685246,1.0228194434431876,1.6396778927698563,0.2859750091119185,0.3286564142992049,1.9844624699139493,1.0430519623600634,1.983312516511808,1.0385400269717997
0.7879165843012113,2.0197257446182086,0.864554606389387,1.4418281982389125,1.476469997719637,1.516872700955044,1.0397765811283033,1.638922428496961,0.3195227738013384,0.3306267869405133,1.9062872856965343,1.0438245615486734,1.8889780879427174,1.0435988929875153
0.7627840776544128,2.0192814329270163,0.8375234093585839,1.4451416269996955,1.473548440356485,1.4836195951186448,1.0488220241572492,1.6461999237546372,0.2684738200645751,0.32315826771200357,1.971924576660005,1.004308925019646,1.9647639719493843,1.0045129327941862
0.8016455113953447,2.025315245254117,0.8604056506850575,1.4517144453562136,1.4749973616809087,1.5351012799372679,1.080542171785948,1.6557798241158828,0.3078951477821599,0.3410281944908507,1.9312069901775526,0.9652362080072618,1.9753469416724239,0.981923096770427
0.7745047108705735,2.096822676143519,0.8511706964681696,1.4893518360580484,1.5435410803576577,1.5168715210746164,1.0097639377400955,1.6434682413649164,0.30725086182185923,0.3356144908261316,1.9599704269960203,0.9684243083500786,1.9755658831899534,1.0011984529386784
0.8113662183352444,2.027212058090839,0.8737792491131002,1.4602859976458527,1.4868538328977183,1.6099536744213607,1.0109564434738871,1.7203929369307738,0.3232529611737238,0.34339154151930806,2.0019933943110177,0.9373945441205219,1.9862099909179471,0.963390623278321
0.7779338183783888,1.985350601882561,0.8394152627750006,1.412082259277684,1.4450695489159424,1.4081832518442128,0.9390731014330461,1.5597087192955714,0.3036067738132777,0.33102955697388076,2.021524168639797,0.9674900249971572,2.010487841091943,0.9891930031709619
0.837198425720421,2.0578452300973016,0.8834572022461545,1.4734008123466238,1.4924264051919234,1.4926538406151562,0.978743543954463,1.6358584255117417,0.27313581218832195,0.3166185622518569,2.1068271650775445,1.0020647097311395,2.072165729512643,0.9873892247976589
0.7812019209839304,2.0713682293354783,0.8444954098800259,1.4880645968982869,1.5150717626391557,1.4454898493092685,0.9922767170397355,1.5811342197774019,0.2808129007870375,0.31852330125661577,1.967755617265771,0.9832103745752452,1.986857014156206,0.9834750683540214
