condition,cultivation,day,species,median,mean,std,min,max,q1,q3
Dysbiotic,HOBIC,3,F. nucleatum,5,5.222222222222222,4.190995638800456,0.0,12.0,2,8
Dysbiotic,HOBIC,3,P. gingivalis_W83,3,3.2444444444444445,2.7834830299065554,0.0,8.0,1,5
Dysbiotic,HOBIC,6,S. oralis,7,7.333333333333333,5.420332093147061,0.6000000000000001,16.0,3,11
Dysbiotic,HOBIC,6,A. naeslundii,10,10.666666666666666,7.331950627220563,1.7000000000000002,22.0,5,16
Dysbiotic,HOBIC,6,V. parvula,63,60.77777777777778,18.570526229604923,30.0,84.0,48,74
Dysbiotic,HOBIC,6,F. nucleatum,8,8.333333333333334,6.461423991660043,0.0,18.0,3,13
Dysbiotic,HOBIC,6,P. gingivalis_W83,5,5.222222222222222,4.190995638800456,0.0,12.0,2,8
Dysbiotic,HOBIC,10,S. oralis,7,7.333333333333333,5.420332093147061,0.6000000000000001,16.0,3,11
Dysbiotic,HOBIC,10,A. naeslundii,17,17.11111111111111,9.90863820669173,3.0,32.0,10,24
Dysbiotic,HOBIC,10,V. parvula,48,46.888888888888886,16.435970038641194,20.0,70.0,36,58
Dysbiotic,HOBIC,10,F. nucleatum,13,12.555555555555555,8.000486096343007,2.0,24.0,6,18
Dysbiotic,HOBIC,10,P. gingivalis_W83,8,8.11111111111111,6.129323870632968,0.30000000000000027,18.0,3,12
Dysbiotic,HOBIC,15,S. oralis,5,5.333333333333333,4.045985664828782,0.20000000000000018,12.0,2,8
Dysbiotic,HOBIC,15,A. naeslundii,24,23.88888888888889,13.385387970137852,5.0,44.0,14,33
Dysbiotic,HOBIC,15,V. parvula,38,37.111111111111114,16.035620072548213,12.0,60.0,26,48
Dysbiotic,HOBIC,15,F. nucleatum,18,17.666666666666668,10.299029080452195,3.0,34.0,10,24
Dysbiotic,HOBIC,15,P. gingivalis_W83,8,8.333333333333334,6.461423991660043,0.0,18.0,3,13
Dysbiotic,HOBIC,21,S. oralis,3,3.2444444444444445,2.7834830299065554,0.0,8.0,1,5
Dysbiotic,HOBIC,21,A. naeslundii,22,21.77777777777778,12.894744838283712,4.0,42.0,12,30
Dysbiotic,HOBIC,21,V. parvula,33,32.333333333333336,14.637281168304447,10.0,54.0,22,42
Dysbiotic,HOBIC,21,F. nucleatum,24,23.666666666666668,13.07019510183379,5.0,44.0,14,32
Dysbiotic,HOBIC,21,P. gingivalis_W83,12,12.11111111111111,8.889803772362532,1.0,26.0,5,18
