a11,a12,a22,b1,b2
2.8898825163889468,1.0675513545751252,2.8657470257276687,0.6864149901793231,1.2477398568919973
0.2686589238546116,1.7411663511535136,2.3482052239600804,0.09374425704486411,0.4235958089061824
0.5439091042387487,0.7598571494378108,1.1759200777495384,0.27192229354728137,2.9533841754446035
0.8131132032238496,1.499436929557596,0.6373984917756386,1.4002380544545483,2.950166098435944
1.6311608120830559,0.27415175496085065,1.3229648628350297,0.018337656926065038,0.6322754599143929
1.328428636980178,2.7912147601690953,1.2843445443761174,1.4619233708360246,0.9299040132423545
0.8298418223208743,1.0072659717625005,0.8833869273877415,2.817008182311664,2.6768652358131617
0.44707010042142914,0.5903457043170337,2.741170993507167,1.0670646269091006,2.1826616334338453
0.7660829460855056,0.7914409239737015,2.60659987918627,1.970535919577546,1.388946591189232
1.236394000659114,2.10146204479199,0.7515347815272212,2.885942692117326,0.3419569676510349
2.9675367687514806,0.2249534595611875,1.9539499390982038,2.87136898062234,0.26830798234469727
2.8898825163889468,1.0675513545751252,2.8657470257276687,0.6864149901793231,1.2477398568919973
1.174127988041455,2.5735752953108624,1.4874391559815225,1.4853303644854385,0.016014481085314003
0.05098010643125367,0.18391910130456612,2.030760161215505,1.9847811374955335,0.5336578463211117
0.7128870689913818,0.32248117745886273,1.4150274740183864,0.10519949655536653,0.9134324126249171
2.9771415095546843,0.6177475173948106,2.899551984281121,0.2833677767622218,1.394128120807608
