x,y,z,phi_pg,di
7.14285714e-02,0.00000000e+00,7.14285714e-02,2.23326367e-01,5.33050578e-01
7.14285714e-02,0.00000000e+00,1.42857143e-01,1.73715313e-01,5.33050578e-01
7.14285714e-02,0.00000000e+00,2.14285714e-01,2.16958070e-01,5.33050578e-01
7.14285714e-02,0.00000000e+00,2.85714286e-01,1.50824688e-01,5.33050578e-01
7.14285714e-02,0.00000000e+00,3.57142857e-01,1.94931708e-01,5.33050578e-01
7.14285714e-02,0.00000000e+00,4.28571429e-01,1.53285229e-01,5.33050578e-01
7.14285714e-02,0.00000000e+00,5.00000000e-01,1.84445788e-01,5.33050578e-01
7.14285714e-02,0.00000000e+00,5.71428571e-01,1.87444926e-01,5.33050578e-01
7.14285714e-02,0.00000000e+00,6.42857143e-01,1.66669328e-01,5.33050578e-01
7.14285714e-02,0.00000000e+00,7.14285714e-01,1.67294301e-01,5.33050578e-01
7.14285714e-02,0.00000000e+00,7.85714286e-01,1.41566986e-01,5.33050578e-01
7.14285714e-02,0.00000000e+00,8.57142857e-01,1.73050847e-01,5.33050578e-01
7.14285714e-02,0.00000000e+00,9.28571429e-01,1.56895002e-01,5.33050578e-01
7.14285714e-02,0.00000000e+00,1.00000000e+00,1.62534559e-01,5.33050578e-01
7.14285714e-02,7.14285714e-02,0.00000000e+00,1.81982927e-01,5.33050578e-01
7.14285714e-02,7.14285714e-02,7.14285714e-02,1.94660111e-01,5.33050578e-01
7.14285714e-02,7.14285714e-02,1.42857143e-01,1.51908577e-01,5.33050578e-01
7.14285714e-02,7.14285714e-02,2.14285714e-01,1.80346597e-01,5.33050578e-01
7.14285714e-02,7.14285714e-02,2.85714286e-01,2.10241849e-01,5.33050578e-01
7.14285714e-02,7.14285714e-02,3.57142857e-01,1.88315720e-01,5.33050578e-01
7.14285714e-02,7.14285714e-02,4.28571429e-01,1.54503452e-01,5.33050578e-01
7.14285714e-02,7.14285714e-02,5.00000000e-01,1.59184541e-01,5.33050578e-01
7.14285714e-02,7.14285714e-02,5.71428571e-01,2.08446454e-01,5.33050578e-01
7.14285714e-02,7.14285714e-02,6.42857143e-01,1.96396619e-01,5.33050578e-01
7.14285714e-02,7.14285714e-02,7.14285714e-01,1.74717650e-01,5.33050578e-01
7.14285714e-02,7.14285714e-02,7.85714286e-01,1.68105487e-01,5.33050578e-01
7.14285714e-02,7.14285714e-02,8.57142857e-01,1.66811697e-01,5.33050578e-01
7.14285714e-02,7.14285714e-02,9.28571429e-01,1.86027035e-01,5.33050578e-01
7.14285714e-02,7.14285714e-02,1.00000000e+00,1.60780356e-01,5.33050578e-01
7.14285714e-02,1.42857143e-01,0.00000000e+00,1.88298919e-01,5.33050578e-01
7.14285714e-02,1.42857143e-01,7.14285714e-02,1.63939126e-01,5.33050578e-01
7.14285714e-02,1.42857143e-01,1.42857143e-01,1.60412756e-01,5.33050578e-01
7.14285714e-02,1.42857143e-01,2.14285714e-01,1.85265551e-01,5.33050578e-01
7.14285714e-02,1.42857143e-01,2.85714286e-01,1.57966787e-01,5.33050578e-01
7.14285714e-02,1.42857143e-01,3.57142857e-01,1.48428288e-01,5.33050578e-01
7.14285714e-02,1.42857143e-01,4.28571429e-01,1.53440344e-01,5.33050578e-01
7.14285714e-02,1.42857143e-01,5.00000000e-01,1.84573320e-01,5.33050578e-01
7.14285714e-02,1.42857143e-01,5.71428571e-01,1.72576432e-01,5.33050578e-01
7.14285714e-02,1.42857143e-01,6.42857143e-01,1.78575388e-01,5.33050578e-01
7.14285714e-02,1.42857143e-01,7.14285714e-01,1.69248193e-01,5.33050578e-01
7.14285714e-02,1.42857143e-01,7.85714286e-01,2.21634356e-01,5.33050578e-01
7.14285714e-02,1.42857143e-01,8.57142857e-01,1.95457025e-01,5.33050578e-01
7.14285714e-02,1.42857143e-01,9.28571429e-01,1.56785736e-01,5.33050578e-01
7.14285714e-02,1.42857143e-01,1.00000000e+00,1.79382916e-01,5.33050578e-01
7.14285714e-02,2.14285714e-01,0.00000000e+00,1.57172942e-01,5.33050578e-01
7.14285714e-02,2.14285714e-01,7.14285714e-02,2.20831579e-01,5.33050578e-01
7.14285714e-02,2.14285714e-01,1.42857143e-01,1.70870835e-01,5.33050578e-01
7.14285714e-02,2.14285714e-01,2.14285714e-01,2.28594457e-01,5.33050578e-01
7.14285714e-02,2.14285714e-01,2.85714286e-01,1.99193200e-01,5.33050578e-01
7.14285714e-02,2.14285714e-01,3.57142857e-01,2.13403548e-01,5.33050578e-01
7.14285714e-02,2.14285714e-01,4.28571429e-01,1.83560288e-01,5.33050578e-01
7.14285714e-02,2.14285714e-01,5.00000000e-01,1.75954450e-01,5.33050578e-01
7.14285714e-02,2.14285714e-01,5.71428571e-01,1.77023510e-01,5.33050578e-01
7.14285714e-02,2.14285714e-01,6.42857143e-01,1.94897135e-01,5.33050188e-01
7.14285714e-02,2.14285714e-01,7.14285714e-01,1.78162452e-01,5.33050578e-01
7.14285714e-02,2.14285714e-01,7.85714286e-01,1.98801587e-01,5.33050578e-01
7.14285714e-02,2.14285714e-01,8.57142857e-01,2.06428086e-01,5.33050578e-01
7.14285714e-02,2.14285714e-01,9.28571429e-01,1.74056565e-01,5.33050578e-01
7.14285714e-02,2.14285714e-01,1.00000000e+00,1.61403572e-01,5.33050578e-01
7.14285714e-02,2.85714286e-01,0.00000000e+00,1.52861188e-01,5.33050578e-01
7.14285714e-02,2.85714286e-01,7.14285714e-02,1.92865444e-01,5.33050578e-01
7.14285714e-02,2.85714286e-01,1.42857143e-01,1.67246585e-01,5.33050578e-01
7.14285714e-02,2.85714286e-01,2.14285714e-01,2.08755867e-01,5.33050578e-01
7.14285714e-02,2.85714286e-01,2.85714286e-01,1.55635838e-01,5.33050578e-01
7.14285714e-02,2.85714286e-01,3.57142857e-01,1.51579827e-01,5.33050578e-01
7.14285714e-02,2.85714286e-01,4.28571429e-01,1.83386587e-01,5.33050578e-01
7.14285714e-02,2.85714286e-01,5.00000000e-01,1.51241975e-01,5.33050578e-01
7.14285714e-02,2.85714286e-01,5.71428571e-01,1.52348033e-01,5.33050578e-01
7.14285714e-02,2.85714286e-01,6.42857143e-01,1.86373155e-01,5.33050578e-01
7.14285714e-02,2.85714286e-01,7.14285714e-01,1.94975933e-01,5.33050578e-01
7.14285714e-02,2.85714286e-01,7.85714286e-01,1.90474636e-01,5.33050578e-01
