label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
22501,-36.109863,-59.881081,26.832022,-8.2310849e-05,-7.6360164e-05,3.6356416e-06,0.00011233507,BULK,BULK
22502,-36.031532,-60.017864,26.5119,-8.1541846e-05,-7.5636439e-05,2.6422481e-06,0.00011125163,BULK,BULK
22503,-36.2658,-59.659184,26.583271,-7.1421855e-05,-7.6603428e-05,6.0995626e-06,0.00010491125,BULK,BULK
22504,-37.606956,-65.37236,18.965736,2.163775e-05,-4.2818643e-05,3.930604e-05,6.2020909e-05,BULK,BULK
22505,-37.815353,-65.502586,19.356846,1.0858435e-05,-1.3383284e-05,1.7557193e-05,2.4602295e-05,BULK,BULK
22506,-38.084579,-65.271217,19.132025,1.9922931e-05,-5.5253091e-05,4.9200855e-05,7.6619523e-05,BULK,BULK
22507,-36.179047,-59.759037,26.168659,-7.1195107e-05,-8.1961232e-05,8.4905951e-06,0.00010889663,BULK,BULK
22508,-35.944908,-60.175076,26.099794,-7.3943338e-05,-9.2654605e-05,3.3677441e-06,0.00011859104,BULK,BULK
22509,-36.10878,-59.89006,25.725098,-7.0475959e-05,-8.248174e-05,1.2148774e-05,0.00010916818,BULK,BULK
22510,-34.693054,-70.465027,19.801538,-1.0388999e-06,1.8530517e-07,1.6786547e-06,1.9828093e-06,BULK,BULK
22511,-34.808399,-70.549362,19.374762,-3.5982262e-07,2.0369204e-07,2.9704509e-06,2.99909e-06,BULK,BULK
22512,-34.454258,-70.410713,19.477737,-2.3361695e-06,-1.2618503e-06,3.1684788e-06,4.13391e-06,BULK,BULK
22513,-42.068237,-59.833679,37.822758,4.2039475e-05,-6.004866e-05,-9.1341972e-05,0.00011711753,BULK,BULK
22514,-44.379414,-68.303322,36.487309,1.0053465e-05,-1.4464558e-05,-1.0124922e-05,2.0317718e-05,BULK,BULK
22515,-36.333557,-64.361351,22.137154,-6.4455992e-07,-1.2943504e-07,8.6809022e-09,6.5748481e-07,BULK,BULK
22516,-35.065197,-66.53978,29.735331,-1.0589109e-06,-8.51854e-07,6.9083455e-08,1.3607792e-06,BULK,BULK
22517,-40.750034,-57.577065,37.312408,-2.6875712e-06,-8.8124769e-05,-6.668931e-05,0.0001105471,BULK,BULK
22518,-40.994877,-57.814323,37.577721,3.59501e-06,-7.5965138e-05,-7.8790334e-05,0.0001095059,BULK,BULK
22519,-33.860733,-68.927666,21.774914,-4.2745601e-06,-1.2292659e-05,6.4534993e-06,1.4526837e-05,BULK,BULK
22520,-33.781559,-69.057434,21.330616,-5.1490779e-06,-1.5159965e-05,7.560684e-06,1.7705973e-05,BULK,BULK
22521,-40.946259,-62.284752,22.864758,7.1386799e-05,-6.1508312e-05,4.8303478e-05,0.00010588944,BULK,BULK
22522,-40.702637,-62.419064,22.377081,7.0956638e-05,-5.7859721e-05,5.0863651e-05,0.00010473635,BULK,BULK
22523,-41.157909,-62.684608,22.636372,8.0697515e-05,-4.5994704e-05,5.0649825e-05,0.00010579701,BULK,BULK
22524,-35.665585,-61.137444,23.548855,-7.0354639e-05,-9.1950809e-05,3.6891619e-05,0.00012151427,BULK,BULK
22525,-36.452431,-59.414898,29.062336,-7.626383e-05,-7.025784e-05,5.5482587e-06,0.0001038418,BULK,BULK
22526,-44.2719,-61.362411,36.992569,1.8804047e-05,-1.7810136e-05,-7.5441867e-06,2.6976061e-05,BULK,BULK
22527,-43.861137,-61.482018,36.819878,5.1022485e-06,-6.7770234e-06,-4.1773001e-06,9.4557295e-06,BULK,BULK
22528,-43.958717,-61.03397,36.965298,1.4436518e-05,-2.3031938e-05,-6.6717193e-06,2.7989195e-05,BULK,BULK
22529,-42.165092,-68.835663,36.657585,5.3193526e-07,-6.8693979e-09,-1.8103584e-06,1.8869022e-06,BULK,BULK
22530,-41.653381,-68.749008,36.807465,2.8934028e-07,-3.6426977e-07,-1.6969472e-06,1.7595567e-06,BULK,BULK
22531,-36.069237,-66.62326,37.185875,1.7031855e-06,-3.4005093e-06,-2.4717835e-06,4.5358591e-06,BULK,BULK
22532,-36.296005,-67.058578,37.001682,5.7301344e-07,-1.1041337e-06,-1.5914595e-06,2.0199503e-06,BULK,BULK
22533,-38.031467,-63.253605,26.939758,6.4376383e-07,-2.2921763e-06,1.1521767e-06,2.6449981e-06,BULK,BULK
22534,-38.404541,-65.42366,37.689674,1.9135212e-05,-8.1873814e-06,-0.00010116574,0.00010328454,BULK,BULK
22535,-38.668095,-65.055595,37.578388,2.2656899e-05,2.2147015e-06,-9.6766533e-05,9.9408258e-05,BULK,BULK
22536,-43.017952,-61.884537,27.864731,7.5814562e-05,-5.3823329e-05,4.4975481e-05,0.00010328404,BULK,BULK
22537,-36.724518,-58.943371,31.231701,-7.0206879e-05,-6.888606e-05,1.4738686e-05,9.9456141e-05,BULK,BULK
22538,-36.548271,-59.274265,30.846651,-7.8495497e-05,-5.863898e-05,9.6348158e-06,9.845254e-05,BULK,BULK
22539,-36.891403,-58.855034,30.799427,-6.4572305e-05,-7.3095485e-05,1.5110087e-05,9.8695731e-05,BULK,BULK
22540,-37.070911,-58.625458,31.168571,-5.7477242e-05,-7.9804755e-05,1.70324e-05,9.9812499e-05,BULK,BULK
22541,-46.827675,-62.063164,35.131313,0.0001042907,-4.4555045e-06,9.4180552e-07,0.00010439007,BULK,BULK
22542,-37.01857,-67.446426,32.276676,-1.6160485e-08,-8.1297955e-09,2.9391622e-09,1.8327398e-08,BULK,BULK
