label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
49315,-45.353199,-67.355026,36.826157,8.0596416e-05,1.8151972e-05,-5.9534905e-05,0.00010183163,T30,OUTER
49316,-44.921528,-67.245216,37.23888,6.8536501e-05,5.7450934e-06,-7.5295742e-05,0.00010197895,T30,OUTER
49317,-35.049622,-63.556553,36.84248,-8.1654805e-05,-1.954491e-05,-5.0214239e-05,9.7831389e-05,T30,OUTER
49318,-38.989216,-64.511597,26.424341,-3.7646025e-08,-1.0906889e-06,2.3336122e-06,2.576192e-06,T30,APPROX
49319,-38.652096,-64.187126,26.427359,-5.1809359e-08,-1.0022713e-06,1.5345075e-06,1.8335609e-06,T30,APPROX
49320,-38.794807,-64.387825,26.700205,4.5368895e-07,-2.9257187e-06,4.1257226e-06,5.0781149e-06,T30,APPROX
49321,-43.858227,-66.350739,31.150852,7.21416e-05,4.5153174e-05,4.4098339e-05,9.5853446e-05,T30,OUTER
49322,-44.04768,-66.419006,31.574392,6.8996582e-05,4.5956214e-05,4.564154e-05,9.4634307e-05,T30,OUTER
49323,-40.068237,-63.522007,19.881144,6.9187416e-05,-2.6330918e-05,6.4329797e-05,9.8074148e-05,T30,OUTER
49324,-39.670918,-63.286823,19.587009,6.2560401e-05,-3.3754099e-05,6.9042711e-05,9.9096109e-05,T30,OUTER
49325,-38.734627,-69.773682,22.609592,8.2266761e-06,-1.1187584e-05,6.113065e-06,1.5172666e-05,T30,APPROX
49326,-39.11602,-69.293472,22.719257,8.4188738e-05,2.2901193e-05,4.1924708e-05,9.6798189e-05,T30,OUTER
49327,-35.583939,-62.330406,29.667849,-7.9778707e-05,-3.3904787e-05,1.928038e-05,8.8802645e-05,T30,OUTER
49328,-35.637993,-62.579315,29.295107,-7.2594659e-05,-3.7531783e-05,2.5951604e-05,8.5744417e-05,T30,OUTER
49329,-40.91663,-65.842331,24.214972,4.8831962e-06,-3.389418e-06,2.7469089e-06,6.5482263e-06,T30,APPROX
49330,-41.367245,-65.59317,24.056341,5.5419359e-06,-9.5618088e-06,3.9747024e-06,1.1744765e-05,T30,APPROX
49331,-41.127922,-65.708397,23.749207,5.6425047e-06,-8.1750813e-06,3.9659385e-06,1.0695723e-05,T30,APPROX
49332,-40.258022,-69.118889,29.619623,2.2369236e-06,-1.3808328e-06,1.7491585e-06,3.1575437e-06,T30,APPROX
49333,-40.20697,-69.11692,30.08404,1.3552967e-06,-5.1796491e-07,1.0611336e-06,1.797532e-06,T30,APPROX
49334,-40.543079,-62.118961,37.759525,-8.576252e-07,-2.2543272e-06,-1.1915312e-06,2.6902154e-06,T30,APPROX
49335,-41.084435,-68.720825,29.448723,2.7514036e-06,-6.7530377e-06,2.9697051e-06,7.8735563e-06,T30,APPROX
49336,-41.474579,-68.498489,29.567133,3.0164513e-06,-7.9684451e-06,1.6787092e-06,8.684075e-06,T30,APPROX
49337,-35.638031,-69.89003,24.577286,-3.9245958e-08,-4.860091e-08,6.6687534e-08,9.1375712e-08,T30,APPROX
49338,-35.265232,-69.63623,24.832813,-1.8148603e-07,-1.4688332e-07,7.3029085e-08,2.4463266e-07,T30,APPROX
49339,-35.732712,-69.773491,25.069647,-4.3341281e-08,-4.2939465e-08,5.1520562e-08,7.985382e-08,T30,APPROX
49340,-36.652214,-68.017159,33.790974,-2.200154e-08,-1.5178198e-08,-8.0097546e-09,2.7903434e-08,T30,APPROX
49341,-36.413521,-67.969398,34.101406,-3.0425657e-08,-2.1905638e-08,-1.6501614e-08,4.0961944e-08,T30,APPROX
49342,-41.08559,-69.211647,32.020969,6.0198215e-07,-2.8597137e-07,3.3844546e-07,7.4746737e-07,T30,APPROX
49343,-41.600357,-69.1548,32.143314,9.4540479e-07,-7.2594617e-07,6.4755579e-07,1.356509e-06,T30,APPROX
49344,-41.474266,-69.084946,31.736643,1.3277809e-06,-8.6845114e-07,7.9088028e-07,1.7727665e-06,T30,APPROX
49345,-40.043583,-66.342117,25.664974,7.3745025e-05,-5.4828633e-05,3.8611328e-05,9.9676187e-05,T30,OUTER
49346,-39.656551,-66.066116,25.712557,5.9475104e-05,-6.6370943e-05,4.4006712e-05,9.9393062e-05,T30,OUTER
49347,-39.644669,-66.226524,25.378962,6.0101251e-05,-6.5768094e-05,4.0270941e-05,9.7771935e-05,T30,OUTER
49348,-39.41452,-69.274208,34.081135,9.536679e-09,1.3512718e-09,-6.7312298e-09,1.1750899e-08,T30,APPROX
49349,-41.553185,-67.423294,38.01009,8.0721077e-07,-6.8022121e-07,-9.6559554e-05,9.6565323e-05,T30,OUTER
49350,-41.154499,-67.935104,37.945717,3.5296962e-06,-9.3626377e-06,-3.2389633e-07,1.0011126e-05,T30,APPROX
49351,-41.082775,-67.276222,37.973541,-7.0862319e-07,-3.9284605e-06,-9.5117379e-05,9.5201107e-05,T30,OUTER
49352,-38.50713,-65.387634,26.232424,3.7872192e-05,-6.9302354e-05,4.6871752e-05,9.1837249e-05,T30,OUTER
49353,-38.193768,-65.359123,25.959721,4.1586234e-05,-7.0708811e-05,4.2834388e-05,9.2541535e-05,T30,OUTER
49354,-38.585781,-65.595024,25.871758,3.9012644e-05,-7.4686759e-05,3.9803213e-05,9.3190097e-05,T30,OUTER
49355,-40.26738,-60.372772,26.376841,4.6309513e-05,-7.7756486e-05,2.1636113e-05,9.3052477e-05,T30,OUTER
49356,-40.658894,-60.605316,26.266726,4.4638466e-05,-7.9190162e-05,2.3804614e-05,9.3969857e-05,T30,OUTER
49357,-40.620113,-60.4874,26.66239,4.5419176e-05,-7.7450335e-05,2.5938294e-05,9.3457215e-05,T30,OUTER
49358,-39.784004,-60.586365,24.299145,4.4843568e-05,-7.8102967e-05,2.8064573e-05,9.4332599e-05,T30,OUTER
49359,-40.165745,-60.813728,24.264496,4.4296608e-05,-7.8684512e-05,2.9139146e-05,9.4881673e-05,T30,OUTER
49360,-42.970901,-69.272591,36.454559,4.3351258e-07,5.1222435e-07,-2.5660083e-06,2.652302e-06,T30,APPROX
49361,-43.423733,-69.212288,36.263912,1.0824103e-06,-9.1644301e-07,-1.7544982e-06,2.256046e-06,T30,APPROX
49362,-33.54718,-68.469521,22.895262,-5.1604746e-07,-9.9060935e-06,4.97777e-06,1.1098432e-05,T30,APPROX
49363,-33.69088,-68.959,22.735916,-1.7355766e-06,-5.6694971e-06,2.7131387e-06,6.5204712e-06,T30,APPROX
49364,-38.183617,-58.794411,26.535755,2.3764844e-05,-9.115885e-05,1.9915997e-05,9.6287853e-05,T30,OUTER
49365,-37.609245,-58.65316,26.70314,-4.9170235e-06,-9.5144329e-05,1.5001866e-05,9.6445199e-05,T30,OUTER
49366,-37.745991,-58.739914,26.250505,6.9997645e-06,-9.4725765e-05,1.7193843e-05,9.6527693e-05,T30,OUTER
49367,-39.140911,-69.108307,34.856663,9.2739425e-09,-7.1285888e-09,-2.8954132e-08,3.1227624e-08,T30,APPROX
49368,-38.997562,-68.983566,35.288322,1.5404973e-08,-1.5651656e-08,-5.8568396e-08,6.2550336e-08,T30,APPROX
49369,-39.409931,-69.132431,35.257324,1.7230757e-08,-1.7454676e-08,-5.1096048e-08,5.6677781e-08,T30,APPROX
49370,-38.427856,-58.752296,27.304716,2.4062627e-05,-9.0947666e-05,1.9250534e-05,9.6026408e-05,T30,OUTER
49371,-38.29697,-58.635712,27.722742,1.7465853e-05,-9.1085043e-05,1.9903764e-05,9.4856212e-05,T30,OUTER
