label,x,y,z,Ux,Uy,Uz,Umag,tooth,region
77,-67.857368,-43.318081,29.741508,-1.7212086e-37,8.4881463e-38,-2.3924458e-38,1.9339812e-37,T23,INNER
78,-67.760117,-43.095131,29.378826,-1.593169e-37,5.6339137e-38,-0,1.6898512e-37,T23,INNER
79,-67.733917,-42.954357,29.732216,-1.0725765e-37,3.2898455e-38,-0,1.1218962e-37,T23,INNER
80,-68.01429,-41.128506,24.027121,-2.0960048e-37,-1.5328524e-38,3.7390973e-38,2.1346056e-37,T23,INNER
81,-68.065773,-40.692085,23.841213,-2.1539583e-37,-3.8345924e-38,5.3527197e-38,2.2523529e-37,T23,INNER
82,-67.983025,-40.737244,24.303215,-1.5034388e-37,-1.7999508e-38,2.5642066e-38,1.5357337e-37,T23,INNER
83,-67.200691,-39.427647,37.474636,-3.3593872e-38,1.3857143e-37,-1.3414535e-37,1.9576916e-37,T23,INNER
84,-67.566612,-39.586349,37.270691,-1.1880224e-38,1.6451603e-37,-1.2092149e-37,2.0452058e-37,T23,INNER
85,-67.146095,-39.675434,37.099472,-3.5754307e-38,1.5964122e-37,-9.4755186e-38,1.8905617e-37,T23,INNER
86,-68.845253,-45.095417,27.672514,-6.602623e-38,1.8550024e-37,-5.0344405e-38,2.0323474e-37,T23,INNER
87,-68.852707,-45.207771,27.174097,-9.3529599e-38,2.6380278e-37,-4.2466047e-38,2.8309549e-37,T23,INNER
88,-68.489738,-44.926514,27.434721,-1.2258483e-37,1.3509443e-37,-2.8295148e-38,1.8460271e-37,T23,INNER
89,-66.951836,-39.442989,32.071819,-2.1997904e-37,-0,6.4607146e-38,2.2927028e-37,T23,INNER
90,-66.943596,-40.007324,32.138527,-2.6565751e-37,2.2094776e-38,7.1816188e-38,2.7607908e-37,T23,INNER
91,-67.059761,-39.72401,31.660276,-1.8125231e-37,0,3.8921617e-38,1.8538417e-37,T23,INNER
92,-71.069832,-44.598297,22.62888,2.2350264e-37,3.8520327e-38,0,2.2679781e-37,T23,INNER
93,-71.08696,-44.612686,23.137663,2.4293459e-37,5.2906203e-38,-0,2.4862881e-37,T23,INNER
94,-71.144775,-44.111092,22.883949,2.2967354e-37,3.1530334e-38,0,2.3182773e-37,T23,INNER
95,-66.232246,-37.481209,35.701408,-1.6114342e-37,-1.3277852e-37,0,2.0879975e-37,T23,INNER
96,-66.113228,-37.776329,35.372143,-2.0852933e-37,-8.5101058e-38,2.6212098e-38,2.26746e-37,T23,INNER
97,-66.375328,-37.374569,35.28886,-1.3925454e-37,-1.3379202e-37,1.8547756e-38,1.9400039e-37,T23,INNER
98,-69.83902,-43.881359,30.914801,3.3152384e-38,1.3131003e-37,-5.0079666e-38,1.4439313e-37,T23,INNER
99,-69.721153,-43.755413,31.355728,4.5706208e-38,2.5867602e-37,-8.822157e-38,2.7710176e-37,T23,INNER
100,-70.185394,-43.709766,31.088301,8.1585015e-38,1.4868561e-37,-5.9349272e-38,1.7968267e-37,T23,INNER
101,-66.983978,-37.325542,33.213257,-1.5786582e-37,-1.4039131e-37,4.8933236e-38,2.1685433e-37,T23,INNER
102,-66.897095,-37.635456,32.888702,-1.6299263e-37,-8.4832126e-38,5.6268064e-38,1.9216967e-37,T23,INNER
103,-67.162346,-37.278461,32.795021,-1.15163e-37,-1.2433212e-37,4.0137047e-38,1.7416078e-37,T23,INNER
104,-70.536972,-41.429142,21.123255,1.5250131e-37,-1.7063524e-37,1.290684e-37,2.6273882e-37,T23,INNER
105,-70.550529,-41.136814,21.575256,1.7013989e-37,-1.9427362e-37,1.3417383e-37,2.9101965e-37,T23,INNER
106,-70.173233,-41.10479,21.255575,6.0425699e-38,-1.4842026e-37,1.0969453e-37,1.9419766e-37,T23,INNER
107,-67.32325,-37.260822,32.373901,-1.1792448e-37,-1.1375971e-37,5.0039197e-38,1.7132243e-37,T23,INNER
108,-71.123116,-44.249416,24.903257,2.2491641e-37,5.89766e-38,-1.9645184e-38,2.3334859e-37,T23,INNER
109,-71.185921,-43.889133,24.620342,1.5903052e-37,2.8745945e-38,-0,1.6160766e-37,T23,INNER
110,-71.135658,-44.302139,24.419462,1.9705711e-37,5.3713009e-38,-0,2.042464e-37,T23,INNER
111,-69.434967,-38.384651,37.949547,3.3653525e-38,-0,-2.4414852e-37,2.4645702e-37,T23,INNER
112,-69.14122,-38.762749,37.918259,1.9512109e-38,6.4881173e-38,-2.1357809e-37,2.240667e-37,T23,INNER
113,-68.964066,-38.337627,38.009792,1.2448471e-38,-1.6995117e-38,-1.8193809e-37,1.8315367e-37,T23,INNER
114,-69.69342,-44.623569,18.742062,-7.6190167e-38,-0,1.2953029e-37,1.5027654e-37,T23,INNER
115,-69.981476,-44.762165,18.556118,-2.8616325e-38,0,2.1651501e-37,2.183979e-37,T23,INNER
116,-69.948112,-44.348282,18.671768,-2.296355e-38,-5.3202202e-38,1.7731625e-37,1.865445e-37,T23,INNER
117,-70.946426,-44.054947,27.16964,2.1316664e-37,1.0979484e-37,-2.3475335e-38,2.4092741e-37,T23,INNER
118,-71.119698,-43.591175,27.021135,2.4570444e-37,6.7610807e-38,-2.2488322e-38,2.5582732e-37,T23,INNER
